Назва,місто/район
га","На зерно та зелений корм
до площ під урожай 2020р.","Усього на зернові культури
га","Усього на зернові культури
у % до площ під урожай 2020р.","На пшеницю
га","На пшеницю
у % до площ під урожай 2020р.","На ріпак
га","На ріпак
у % до площ під урожай 2020р."
Одеська область,
м.Одеса,місто
м.Балта,місто
м.Білгород-Дністровський,місто
м.Біляївка,місто
м.Ізмаїл,місто
Ананьївський,район
Арцизький,район
Балтський,район
Білгород-Дністровський,район
Біляївський,район
Березівський,район
Болградський,район
Великомихайлівський,район
Іванівський,район
Ізмаїльський,район
Кілійський,район
Кодимський,район
Лиманський,район
Подільський,район
Окнянський,район
Любашівський,район
Миколаївський,район
Овідіопольський,район
Роздільнянський,район
Ренійський,район
Савранський,район
Саратський,район
Тарутинський,район
Татарбунарський,район
Захарівський,район
Ширяївський,район
